<page title>|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|panel technology|pccanadacom|platform supported|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
"E224WI-BK - Nec Display 22"" Eco-friendly Widescreen Desktop Monitor W/ Ips Panel And Led Backlighting - PC-Canada.com"|Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/mÂ²||ISO 9241-307 Class I|Black|16.7 Million Colors|1,000:1||"2.3"" (58.4 mm)"|"8.4"" (213.4 mm)"|Portrait|Yes|Yes|Cable Management, AccuColor, Ambient Light Sensor, Touch Controls, Sync on Green, Eco Mode, Carbon Footprint Meter||EPEAT Silver, ENERGY STAR 6.0, TCO Certified Displays 6.0, RoHS|Yes|Yes|||"11.9"" (302.3 mm)"|"18.7"" (475 mm)"|178Â°||3 Year|NEC Display Solutions|E224WI-BK|http://www.necdisplay.com||1920 x 1080|Desk Mountable|1|||26 W|"22"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel and LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub Cable DVI Cable"|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|PC|MultiSync|E224WI-BK|"22"" Eco-Friendly Widescreen Desktop Monitor w/ IPS Panel and LED Backlighting"|E|LCD Monitor|||6 ms|Full HD|"21.5"""|||76 Hz|400 mW||||||178Â°|Yes|100 x 100|Yes||3.90 kg|5.90 kg|"20"" (508 mm)"|"20"" (508 mm)"
60A6MAR2US - Lenovo Thinkvision Lt2452p 24-inch Wide Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Lenovo|300 cd/mÂ²||Safety: cTUVus IEC60950 CB Report NEMKO KVALITET CE NOM SASO Gost PSB BSMI JEITA TUV-S SABS KC EMI: FCC B CE VCCI KC BSMI CCC SABS KVALITET Ergonomic: TUV-GS ISO 9241-307 E-Standby|Business Black|16.7 Million Colors|1,000:1||"15.5"" (394.7 mm)"|||Yes|Yes|Security Lock, Cable Management||ENERGY STAR 5.1, Turkey RoHS, EU RoHS, TCO Certified Displays 6.0, Eco Mark (Japan), MPR II, CECP, China Energy Label (CEL), China RoHS, TCO Certified Edge Displays 1.1, EPEAT Gold, ULE Gold, EuP, REACH, EU WEEE|Yes||||"10.1"" (257.3 mm)"||178Â°|110 V AC, 220 V AC|3 Year|Lenovo Group Limited|60A6MAR2US|http://www.lenovo.com/ca/en||1920 x 1200||1||500 mW|40 W|||does not accept phone orders.|PC|ThinkVision|LT2452p|ThinkVision LT2452p 24-inch Wide LCD Monitor||LCD Monitor|Yes|85% Plastic|7 ms|WUXGA|"24"""|||60 Hz|500 mW||||||178Â°|Yes|100 x 100|Yes||6.67 kg||"22"" (559.6 mm)"|
VE247H - Asus Ve247h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|300 cd/mÂ²|Speaker|CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Black|16.7 Million Colors|10,000,000:1||"7.9"" (201 mm)"||||Yes|||ENERGY STAR, RoHS, WEEE|Yes|Yes|Yes||"16.1"" (409.7 mm)"||170Â°||3 Year|ASUS Computer International|VE247H|http://www.asus.com||1920 x 1080|Wall Mountable|1|2||34.90 W|VE247H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VE247H|VE247H Widescreen LCD Monitor||LCD Monitor|||2 ms|Full HD|"23.6"""||Yes|76 Hz|900 mW||||||160Â°|Yes|100 x 100|Yes||4.40 kg||"22.4"" (569.4 mm)"|
E5Z68A8#ABA - Hp V241 23.6-inch Led Backlit Monitor (energy Star) (e5z68a8) - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²||CB FCC ICES TUV TUV-GS ETL S-mark|Black|16.7 Million Colors|1,000:1|China|"1.9"" (47 mm)"|"8"" (204.2 mm)"|Landscape||Yes|Security Lock, Ultra Slim||IT Eco Declaration, RoHS, ENERGY STAR, EPEAT Silver, TCO Certified Displays, WEEE, EU WEEE, REACH|Yes|Yes|||"13.7"" (348 mm)"|"16.3"" (412.8 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|E5Z68A8#ABA|http://www.hp.com/ca||1920 x 1080|Desk Mountable, Wall Mountable, Arm-mountable|1|||30 W|V241 23.6-inch LED Backlit Monitor (ENERGY STAR) (E5Z68A8) VGA Cable AC Power Cord Printed Documentation and CD|Twisted Nematic Film (TN Film)|does not accept phone orders.||Business|V241|V241 23.6-inch LED Backlit Monitor (ENERGY STAR) (E5Z68A8)|Value|LCD Monitor|Yes|Plastic|5 ms|Full HD|"23.6"""|Anti-glare||60 Hz|500 mW|||-5Â°to20Â°|||160Â°|Yes|100 x 100|Yes||3.72 kg||"22.2"" (563.6 mm)"|"22.2"" (563.6 mm)"
E4U30A8#ABA - Hp Elitedisplay E190i 18.9-inch 5:4 Led Backlit Ips Monitor - PC-Canada.com|Yes|Yes|Yes|5:4|LED|HP|250 cd/mÂ²|USB Hub|"ISO 11469 ISO1043 ISO 14001 ISO 9241-307 CSA 60950-1 UL 60950-1 EN55022 Class B EN60950 -1 CNS 13438 Class B IEC 60950-1 ""GS"" Mark VCCI Approvals KC KCC (Korean) CE Marking FCC Part 15 class B Approval CCC EN55024 Class B CISPR Requirements SmartWay - NA only - Energy logistics"|Black|16.7 Million Colors|3,000,000:1||"1.8"" (45.7 mm)"||Portrait|Yes|Yes|Ultra Slim||TCO Certified Displays, ENERGY STAR, RoHS, WEEE, ErP/EuP Lot 6, China Energy Label (CEL), MEPS, Korea MEPS, TÃV, EU RoHS, EPEAT Gold, Eco-label, IT Eco Declaration, TCO Certified Displays 6.0, EU WEEE, CECP|Yes||||"13.6"" (345.4 mm)"|||110 V AC, 220 V AC|3 Year|Hewlett-Packard|E4U30A8#ABA|http://www.hp.com/ca|"4.7"" (120 mm)"|1280 x 1024|Arm-mountable, Wall Mountable|1||500 mW|28 W|EliteDisplay E190i 18.9-inch 5:4 LED Backlit IPS Monitor VGA Cable DVI Cable Display Port Cable USB Cable AC Power Cable Warranty Card CD|In-plane Switching (IPS) Technology|does not accept phone orders.|PC|Elite|E190i|EliteDisplay E190i 18.9-inch 5:4 LED Backlit IPS Monitor||LCD Monitor||||SXGA|"18.9"""|Anti-static, Anti-glare||60 Hz|500 mW||180Â°|-5Â°to25Â°|Yes|USB 2.0||Yes|100 x 100|Yes||3 kg|4.90 kg|"16.4"" (416.6 mm)"|
VE198T - Asus Ve198t Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:10|LED|Asus|250 cd/mÂ²|Speaker|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIWHQL|Black|16.7 Million Colors|10,000,000:1|||"7.2"" (182 mm)"|||Yes|||RoHS, ENERGY STAR|Yes|Yes||||"14.4"" (366 mm)"|170Â°|||ASUS Computer International|VE198T|http://www.asus.com||1440 x 900|Wall Mountable|1|2|1 W|25 W|VE198T Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|||VE198T|VE198T Widescreen LCD Monitor|VE|LCD Monitor|||5 ms|WSXGA|"19"""||Yes|75 Hz|||||||160Â°|Yes|100 x 100|Yes||3.20 kg|||"17.5"" (445 mm)"
F9Z09A8#ABA - Hp Elitedisplay E221i 21.5-inch Ips Led Backlit Monitor (energy Star) (f9z09a8) - PC-Canada.com|Yes||Yes|16:9|LED|HP|250 cd/mÂ²|USB Hub||Black||4,000,000:1||"2"" (51.1 mm)"|"9.3"" (237.2 mm)"||Yes|Yes|Security Lock||ENERGY STAR, TCO Certified Edge, EPEAT Gold, TCO Certified Displays|Yes|Yes|||"12.2"" (309.1 mm)"|"18.1"" (460.2 mm)"|178Â°|120 V AC, 230 V AC|3 Year|Hewlett-Packard|F9Z09A8#ABA|http://www.hp.com/ca||1920 x 1080||1|||31 W||In-plane Switching (IPS) Technology|does not accept phone orders.|||E221i|EliteDisplay E221i 21.5-inch IPS LED Backlit Monitor (ENERGY STAR) (F9Z09A8)||LCD Monitor|||8 ms|Full HD|"21.5"""|Anti-glare|||||360Â°|-5Â°to30Â°|Yes|USB 2.0|178Â°|||Yes||5.82 kg||"20.1"" (509.3 mm)"|"20.1"" (509.3 mm)"
3024HC1 - Lenovo Lt2323p Wide 23inch Wled Flat Panel Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/mÂ²|USB Hub||Raven Black|16.7 Million Colors|1,000:1||"2.1"" (52.3 mm)"|||Yes|Yes|||WEEE, RoHS, China RoHS, MPR II, ENERGY STAR 6.0, REACH, EuP, TCO Certified Edge Displays 1.1, EPEAT Gold, IT Eco Declaration, CECP|Yes||||"14.7"" (372.3 mm)"||170Â°||3 Year|Lenovo Group Limited|3024HC1|http://www.lenovo.com/ca/en||1920 x 1080||1||500 mW|38 W|LT2323p Wide 23inch WLED Flat Panel Monitor Tooless detachable stand VGA Cable DVI Cable USB 2.0 Cable Power Cord CD containing multilingual user's guide, setup test pattern, and Windows installation file Quick start and safety poster||does not accept phone orders.|PC|ThinkVision|LT2323p|LT2323p Wide 23inch WLED Flat Panel Monitor||LCD Monitor|||5 ms|Full HD|"23"""||||500 mW||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||5.74 kg||"21.5"" (546 mm)"|
C9F26AA#ABA - Hp Prodisplay P201 50,8 Cm (20'') Led Backlit Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²|||Black||1,000:1||"1.9"" (47.5 mm)"|"5.9"" (151.1 mm)"|||Yes|Security Lock||ENERGY STAR, EPEAT Gold, TCO Certified Displays|Yes|Yes|||"11.6"" (294.1 mm)"|"14.1"" (359.2 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9F26AA#ABA|http://www.hp.com/ca||1600 x 900||1|||22 W|||does not accept phone orders.||ProDisplay|P201|ProDisplay P201 50,8 cm (20'') LED Backlit Monitor||LCD Monitor|||5 ms|HD+|"20"""|Anti-glare|||500 mW||||||160Â°|Yes|100 x 100|Yes||3.50 kg||"19"" (482 mm)"|"19"" (482 mm)"
VE248H - Asus Ve248h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²||CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Black|16.7 Million Colors|10,000,000:1||"7.9"" (201 mm)"||||Yes|||ENERGY STAR, RoHS, WEEE|Yes|Yes|Yes||"16.1"" (409.7 mm)"||170Â°||3 Year|ASUS Computer International|VE248H|http://www.asus.com||1920 x 1080|Wall Mountable|1|2||34 W|VE248H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VE248H|VE248H Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"24"""||Yes|76 Hz|990 mW||||||160Â°|Yes|100 x 100|Yes||4.40 kg||"22.4"" (569.4 mm)"|
UM.JB6AA.001 - Acer B326hul Widescreen Lcd Monitor - PC-Canada.com||||16:9|LED|Acer|300 Nit|USB Hub||Dark Gray|1.07 Billion Colors|100,000,000:1|||||Yes|Yes||Click to view|EPEAT Gold, TCO Certified Displays 6.0, ENERGY STAR|Yes||Yes|||||||Acer, Inc|UM.JB6AA.001|http://us.acer.com||2560 x 1440||1|||45 W|B326HUL Widescreen LCD Monitor 1 x DVI Cable 1 x DisplayPort Cable 1 x HDMI Cable 1 x USB 3.0 Cable Power Cord||does not accept phone orders.|||B326HUL|B326HUL Widescreen LCD Monitor|B|LCD Monitor|||6 ms|WQHD|"32"""||Yes||||||Yes||||||||||
BL2710PT - Benq Bl2710pt Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9||BenQ|350 cd/mÂ²|USB Hub||Black|1.07 Billion Colors|1,000:1|||"10.2"" (259 mm)"||Yes|Yes|Ambient Light Sensor, Eco Mode, Senseye 3, Security Lock||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes||"20.7"" (525 mm)"|178Â°|110 V AC, 220 V AC||BenQ Corporation|BL2710PT|http://www.benq.ca||2560 x 1440|Wall Mountable|1|||||Advanced Hyper Viewing Angle (AHVA)|does not accept phone orders.|PC, Mac||BL2710PT|BL2710PT Widescreen LCD Monitor|BL|LCD Monitor|||4 ms|WQHD|"27"""||||||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||8.20 kg|||"25.2"" (639 mm)"
Q2770PQU - Aoc Style Q2770pqu Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|AOC|300 cd/mÂ²|Speaker, USB Hub|CE FCC|Textured Black|16.7 Million Colors|20,000,000:1|||"9.6"" (244 mm)"|Landscape/Portrait|Yes|Yes|Eco Mode, Screen+, i-Menu, e-Saver, Security Lock, Mobile High-Definition Link (MHL)||ENERGY STAR, TÃV, RoHS, EPEAT Silver|Yes|Yes|Yes|Yes||"21.9"" (556 mm)"|178Â°|110 V AC, 220 V AC||AOC|Q2770PQU|http://us.aoc.com|"5.1"" (130 mm)"|2560 x 1440|Wall Mountable|1|2|450 mW|18 W|Style Q2770PQU Widescreen LCD Monitor Stand and base Power Cord VGA Cable DVI cable USB cable Audio cable Media (Drivers, AOC Software, User's Manual, Warranty)|In-plane Switching (IPS) Technology|does not accept phone orders.|PC|Style|Q2770PQU|Style Q2770PQU Widescreen LCD Monitor||LCD Monitor|||5 ms|WQHD|"27"""||Yes|60 Hz|500 mW|||-5Â°to23Â°|Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||8 kg|||"25.3"" (642.2 mm)"
VK248H-CSM - Asus Vk248h-csm Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|300 cd/mÂ²|Webcam, Speaker|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIPSBWHQL|Glossy Piano Black|16.7 Million Colors|2,000:1||"9.1"" (230 mm)"||||Yes|Trace Free Technology, Splendid Video Intelligence Technology, Security Lock||RoHS, WEEE|Yes|Yes|Yes|Yes|"16.6"" (422 mm)"||170Â°||3 Year|ASUS Computer International|VK248H-CSM|http://www.asus.com||1920 x 1080|Wall Mountable|1|2||60 W|VK248H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card||does not accept phone orders.|||VK248H-CSM|VK248H-CSM Widescreen LCD Monitor|VK|LCD Monitor|||2 ms|Full HD|"24"""||Yes|75 Hz|2 W||||Yes||160Â°|Yes|100 x 100|Yes||5.50 kg||"22.4"" (568 mm)"|
F0W81A8#ABA - Hp Business E241i Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|HP|250 cd/mÂ²|USB Hub||Silver||5,000,000:1||"2.2"" (55 mm)"|"10.9"" (276.2 mm)"||Yes|Yes|Security Lock||ENERGY STAR, TCO Certified Displays, EPEAT Gold, REACH|Yes|Yes|||"14.3"" (362.6 mm)"|"20.3"" (516.6 mm)"|178Â°|110 V AC, 220 V AC||Hewlett-Packard|F0W81A8#ABA|http://www.hp.com/ca||1920 x 1200||1||500 mW|40 W||In-plane Switching (IPS) Technology|does not accept phone orders.||Business|E241i|Business E241i Widescreen LCD Monitor||LCD Monitor|||8 ms|WUXGA|"24"""|Anti-glare|||35 W||180Â°|-5Â°to30Â°|Yes|USB 2.0|178Â°|||Yes|||6.58 kg|"21.9"" (556 mm)"|"2.2"" (55.6 mm)"
D7Z72AA#ABA - Hp Elitedisplay E271i Led Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|HP|250 cd/mÂ²|USB Hub|CE CB KC KCC NOM PSB ICE TUV-S CCC CECP SEPA ISC VCCI FCC BSMI|Black||1,000:1||"2.1"" (52.3 mm)"|"11"" (278.4 mm)"||Yes|Yes|Security Lock||ENERGY STAR, TCO Certified Edge, EPEAT Gold, China Energy Label (CEL), EPA|Yes|Yes|||"15.3"" (387.4 mm)"|"21"" (532.1 mm)"|178Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|D7Z72AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||40 W|EliteDisplay E271i LED MonitorVGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CDHP DisplayAssistant Software|In-plane Switching (IPS) Technology|does not accept phone orders.||Business|E271i|EliteDisplay E271i LED Monitor||LCD Monitor|||7 ms|Full HD|"27"""|Anti-glare||60 Hz|500 mW||||Yes|USB 2.0|178Â°|||Yes||4.90 kg|7.70 kg|"25.3"" (642.1 mm)"|"25.3"" (642.1 mm)"
SX-19P - Ag Neovo Sx-19p Cctv Lcd Monitor - PC-Canada.com||||||AG Neovo|250 cd/mÂ²|Speaker|||16.7 Million Colors|1,000:1||"6.9"" (175 mm)"||||Yes||||||||"16.5"" (420 mm)"||160Â°|||AG Neovo Technology Corporation|SX-19P|http://www.agneovo.com||1280 x 1024|Wall Mountable|1|2|990 mW|33.99 W|||does not accept phone orders.|||SX-19P|SX-19P CCTV LCD Monitor||LCD Monitor|||3 ms|SXGA|"19"""||Yes|||Yes|||||160Â°|Yes|100 x 100|Yes||7.40 kg||"17.5"" (445 mm)"|
2448MB6 - Lenovo Thinkvision Lt1952p Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes||16:10|LED|Lenovo|250 cd/mÂ²||ULE GoldISO 9241-307FCC Class B|Black||1,000:1||"6.7"" (171.3 mm)"|||Yes|Yes|||ENERGY STAR, WEEE, RoHS, TCO Certified Edge Displays 1.1, TCO Certified Displays 5.2, EPEAT Gold, MPR II|Yes|Yes|||"15.7"" (397.7 mm)"||170Â°||3 Year|Lenovo Group Limited|2448MB6|http://www.lenovo.com/ca/en||1440 x 900|Wall Mountable, Desk Mountable|1|||26 W|ThinkVision LT1952p Widescreen LCD MonitorAttached StandCable CoverSetup PosterSafety and Warranty InformationCD with Multilingual User's GuideMonitor Installation FilesAnalog Signal CableDVI-D CablePower Cord||does not accept phone orders.|PC|ThinkVision|LT1952p|ThinkVision LT1952p Widescreen LCD Monitor||LCD Monitor|||5 ms|WXGA+|"19"""|Anti-glare, Anti-reflective|||500 mW||||||160Â°|Yes|100 x 100|Yes||4.30 kg||"17.4"" (440.9 mm)"|
RX-22 - Ag Neovo Rx-22 Cctv Lcd Monitor - PC-Canada.com|||||LED|AG Neovo|250 cd/mÂ²|Speaker|FCCCBCEBSMI||16.7 Million Colors|1,000:1||"6.1"" (155 mm)"||||Yes|Noise Reduction, Anti-Burn-in Technology, EcoSmart Sensor, 3D Comb Filter, Picture in Picture, 3D De-interlace||REACH, RoHS, WEEE|Yes||Yes||"14.5"" (369 mm)"||170Â°|110 V AC, 220 V AC|3 Year|AG Neovo Technology Corporation|RX-22|http://www.agneovo.com||1920 x 1080||1|2|500 mW|25 W|RX-22 CCTV LCD MonitorQuick GuideCD ROM (User Manual)Power CordPower Adapter15-Pin D-Sub CableAudio Cable||does not accept phone orders.|PC||RX-22|RX-22 CCTV LCD Monitor|RX|LCD Monitor|||3 ms|Full HD|"21.5"""||Yes|85 Hz|500 mW|Yes|||||160Â°|Yes|100 x 100|Yes||6.90 kg||"20.2"" (513 mm)"|
UM.VG7AA.001 - Acer G237hl Widescreen Lcd Monitor - PC-Canada.com|Yes|No|No|16:9|LED|Acer|250 cd/mÂ²|||Black|16.7 Million Colors|100,000,000:1|||"7.3"" (185 mm)"||||CrystalBrite||MPR II|Yes||Yes|||"15.8"" (402 mm)"|178Â°|110 V AC, 220 V AC||Acer, Inc|UM.VG7AA.001|http://www.acer.ca||1920 x 1080||1||450 mW|25 W|G237HL Widescreen LCD Monitor1 x VGA CablePower Cord|In-plane Switching (IPS) Technology|does not accept phone orders.|||G237HL|G237HL Widescreen LCD Monitor|G|LCD Monitor|||6 ms|Full HD|"23"""||||490 mW||No|-5Â°to15Â°|||178Â°|||Yes|||||"20.9"" (532 mm)"
RL2455HM - Benq Rl2455hm Widescreen Lcd Monitor - PC-Canada.com|Yes|No||16:9|LED|BenQ|250 cd/mÂ²|Speaker||Black, Red|16.7 Million Colors|1,000:1||"7.4"" (189 mm)"||||Yes|Security Lock, Senseye 3, Black eQualizer, Smart Scaling||ENERGY STAR 6.0, TCO Certified Displays 5.2|Yes|Yes|Yes|Yes|"17.1"" (435 mm)"||170Â°|110 V AC, 220 V AC|3 Year|BenQ Corporation|RL2455HM|http://www.benq.ca||1920 x 1080||1|2||27 W|||does not accept phone orders.|PC||RL2455HM|RL2455HM Widescreen LCD Monitor|RL|LCD Monitor|||1 ms|Full HD|"24"""||Yes|60 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||4.10 kg||"22.8"" (579 mm)"|
60A8KAR2US - Lenovo Thinkvision Lt2423 24-inch Fhd Led Backlit Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Lenovo|250 cd/mÂ²|Speaker|TUV Green Mark TUV FCC Class B certified ISO 9241-307|Black|16.7 Million Colors|1,000:1||"2"" (50.8 mm)"|||||Security Lock||TCO Certified Edge, ENERGY STAR 6.0, WEEE, TCO Certified Displays 6.0, ULE Gold, RoHS, EPEAT Gold, China Energy Label (CEL), MPR II|Yes|Yes|Yes||"13.5"" (342.9 mm)"||170Â°|110 V AC, 220 V AC|3 Year|Lenovo Group Limited|60A8KAR2US|http://www.lenovo.com/ca/en||1920 x 1080||1|2||21 W|ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor Stand And Base VGA Cable Audio Cable Power Cord CD-ROM Quick Start And Safety Poster||does not accept phone orders.|PC|ThinkVision|LT2423|ThinkVision LT2423 24-Inch FHD LED Backlit LCD Monitor||LCD Monitor|||5 ms|Full HD|"24"""||Yes||500 mW||||||160Â°|Yes||Yes||3.76 kg||"22.3"" (566.4 mm)"|
VG2228WM-LED - Viewsonic Vg2228wm-led Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes||16:9|LED|Viewsonic|250 cd/mÂ²|Speaker, USB Hub|CBULcULFCC-B/ICES003UL AR/TUV-SNOMCEGOST-R+HygienicUkrSEPROCCCCEL Level 2BSMIPSBC-TICKSASO||Grayscale|1,000:1||"9.1"" (230 mm)"||||Yes|||RoHS, REACH, WEEE, ENERGY STAR, EPEAT Silver|Yes||||"16.2"" (412 mm)"||170Â°|110 V AC, 220 V AC||Viewsonic Corporation|VG2228wm-LED|http://www.viewsonic.com||1920 x 1080||1|2||26 W|||does not accept phone orders.|PC, Mac||VG2228wm-LED|VG2228wm-LED Widescreen LCD Monitor|G|LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|Yes|75 Hz|||||Yes|USB 2.0|160Â°|||Yes||4.40 kg||"20.1"" (510.9 mm)"|
