<page title>|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|panel technology|pccanadacom|platform supported|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
C9E54AA#ABA - Hp Prodisplay P191 18.5-inch Led Backlit Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²|||Black||1,000:1||"1.9"" (47.5 mm)"|"5.6"" (142.7 mm)"||||Security Lock||ENERGY STAR, TCO Certified Displays, EPEAT Gold|Yes||||"10.9"" (275.8 mm)"|"13.4"" (341.1 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9E54AA#ABA|http://www.hp.com/ca||1366 x 768||1|||20 W|ProDisplay P191 18.5-inch LED Backlit MonitorVGA CableAC Power CablePrinted Documentation and CD||does not accept phone orders.||Business|P191|ProDisplay P191 18.5-inch LED Backlit Monitor||LCD Monitor|||5 ms|WXGA|"18.5"""|Anti-glare|Yes||500 mW||||Yes||160Â°|Yes|100 x 100|Yes||3.20 kg||"17.7"" (449.3 mm)"|"17.7"" (449.3 mm)"
20M35D-B - Lg 20m35d-b Lcd Monitor - PC-Canada.com|Yes||||LED|LG|||||16.7 Million Colors|5,000,000:1||||||Yes|||||||||||||LG Electronics|20M35D-B|http://www.lg.com/ca||1600 x 900||1|||||Twisted Nematic Film (TN Film)|does not accept phone orders.|||20M35D-B|20M35D-B LCD Monitor||LCD Monitor|||5 ms|HD+|"19.5"""|||||||||||||Yes|||||
VW22AT-CSM - Asus Vw22at-csm Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:10|LED|Asus|250 cd/mÂ²|Speaker|BSMI CB CCC CE C-Tick FCC Gost-R TUV-Ergo TUV-GS UL/cUL VCCI WHQL|Black|16.7 Million Colors|50,000,000:1||"2.5"" (63.3 mm)"|"8.3"" (210.3 mm)"|||Yes|Splendid Video Intelligence Technology, Security Lock, SmartContrast||ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 5.2, WEEE, ENERGY STAR|Yes|Yes|||"13.4"" (340.8 mm)"|"16"" (406.2 mm)"|170Â°|220 V AC, 110 V AC|3 Year|ASUS Computer International|VW22AT-CSM|http://www.asus.com||1680 x 1050|Wall Mountable|1|2|300 mW|33 W|VW22AT-CSM Widescreen LCD Monitor DVI cable VGA cable Audio cable Power cord Quick start guide Warranty Card||does not accept phone orders.|PC||VW22AT-CSM|VW22AT-CSM Widescreen LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"22"""||Yes|76 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||3.90 kg||"20.2"" (514 mm)"|"20.2"" (514 mm)"
"C4D30AA#ABA - Hp Pavilion 22xi 54.6 Cm (21.5"") Diagonal Ips Led Backlit Monitor - PC-Canada.com"|Yes|||16:9|LED|HP|250 cd/mÂ²||CBCEFCC MarkingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R 50377-1992GOST 25861EEI CertificateIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB MarkISC MarkC-Tick|||1,000:1||"6.7"" (170 mm)"||||Yes|Security Lock||REACH, ENERGY STAR 5.2, ErP, CECP|Yes|Yes|Yes||"15.1"" (383 mm)"||178Â°|||Hewlett-Packard|C4D30AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||28 W||In-plane Switching (IPS) Technology|does not accept phone orders.||Pavilion|22xi|"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor"||LCD Monitor|||7 ms|Full HD|"21.5"""|Anti-glare||60 Hz|500 mW||||||178Â°|||Yes||3 kg||"19.6"" (497 mm)"|
e2752Vh - Aoc E2752vh 27 Inch Led Monitor - PC-Canada.com|Yes|||16:9|LED|AOC|300 cd/mÂ²|Speaker||Black|16.7 Million Colors|20,000,000:1|||"8.3"" (210 mm)"|||Yes|Off Timer||ENERGY STAR|Yes|Yes|Yes|||"17.8"" (452 mm)"|170Â°||1 Year|AOC|E2752VH|http://us.aoc.com||1920 x 1080|Wall Mountable|1|2||40 W|||does not accept phone orders.|PC|ENTERTAINING|e2752Vh|e2752Vh 27 Inch LED Monitor|52|LCD Monitor|||5 ms|Full HD|"27"""||Yes||600 mW||||||160Â°|Yes|100 x 100|Yes||5.29 kg|||"25.4"" (645.7 mm)"
C9V75A8#ABA - Hp Promo Elitedisplay E231 23-inch Led Backlit Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|HP|250 cd/mÂ²|USB Hub|CECBKCKCCNOMPSBICETUV-SCCCCECPSEPAISCVCCIFCCHSMI|Black|16.7 Million Colors|1,000:1|China|"2"" (51 mm)"|"9.5"" (242.4 mm)"|Portrait|Yes|Yes|Security Lock||ENERGY STAR, TCO Certified Edge, EPA, EPEAT Gold|Yes|Yes|||"13"" (329 mm)"|"18.5"" (469.9 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9V75A8#ABA|http://www.hp.com/ca||1920 x 1080||1||500 mW|36 W|Promo EliteDisplay E231 23-Inch LED Backlit MonitorVGA CableDisplayPort CableUSB CableAC Power Cable||does not accept phone orders.||Advantage|E231|Promo EliteDisplay E231 23-Inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare|No|60 Hz|500 mW||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||3.90 kg||"21.4"" (544 mm)"|"21.4"" (544 mm)"
VN279Q - Asus Vn279q Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|300 cd/mÂ²|Speaker|EAC logo BSMI CB CCC CE C-Tick CU FCC ISO-9241-307 PSE TUV-GS UkrSEPRO UL/cUL VCCI WHQL|Black|16.7 Million Colors|100,000,000:1||"7.4"" (188 mm)"|||Yes||Mobile High-Definition Link (MHL), MultiScreen, Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, China Energy Label (CEL), ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE|Yes|Yes|Yes|Yes|"21.1"" (535.9 mm)"||178Â°||3 Year|ASUS Computer International|VN279Q|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|300 mW|35 W|VN279Q Widescreen LCD Monitor VGA cable Audio cable Power cord Quick start guide Warranty Card|Advanced-Multi-domain Vertical Alignment (A-MVA)|does not accept phone orders.|PC||VN279Q|VN279Q Widescreen LCD Monitor|VN|LCD Monitor|||5 ms|Full HD|"27"""||Yes|75 Hz|500 mW||||||178Â°|Yes|100 x 100|Yes||||"27.8"" (706.1 mm)"|
2572MB1 - Lenovo Thinkvision Lt2252p 22-inch Led Backlit Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Lenovo|250 cd/mÂ²||ULICCEGSKCCSACCCTUVPSBCSCVCCISASOJEITATUV-SGOSTBSMISEMKONEMKOAS/NZAKVALITETFCC Class BISO 9241-307EPA China Tier 1China Energy Efficiency Standard Tier 1IECEE CB Certificate (world-wide - IEC-950/EN 60950)|||1,000:1||"9.5"" (241.1 mm)"|||Yes|Yes|Security Lock||EPA, CECP, RoHS, MPR II, ULE Gold, EPEAT Gold, China RoHS, ENERGY STAR 6.0, TCO Certified Edge Displays 1.1|Yes|Yes|||"14.5"" (367.1 mm)"||170Â°|||Lenovo Group Limited|2572MB1|http://www.lenovo.com/ca/en||1680 x 1050||1|||26 W|||does not accept phone orders.|PC|ThinkVision|LT2252p|ThinkVision LT2252p 22-inch LED Backlit LCD Monitor||LCD Monitor|||5 ms|WSXGA+|"22"""||||500 mW||||||160Â°|Yes|100 x 100|Yes||5.14 kg||"19.9"" (506 mm)"|
VE278H - Asus Ve278h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|300 cd/mÂ²||CBUL/cULCEFCCCCCBSMIGost-RC-TickVCCIPSBEKWHQL|Black|16.7 Million Colors|1,200:1||"2.3"" (59.5 mm)"|||||Security Lock, Splendid Video Intelligence Technology||WEEE, RoHS, J-Moss (Japanese RoHS), ErP, ENERGY STAR|Yes|Yes|Yes|Yes|"15.2"" (385.6 mm)"||170Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|VE278H|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|500 mW|45 W|VE278H Widescreen LCD MonitorVGA CablePower CordAudio CableQuick Start GuideHDMI-to-DVI CableWarranty Card||does not accept phone orders.|PC||VE278H|VE278H Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"27"""||Yes|75 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||6 kg||"25.3"" (643 mm)"|
VS238H-P - Asus Vs238h-p Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²||UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL|Black|16.7 Million Colors|50,000,000:1||"7.9"" (200 mm)"|||||||ENERGY STAR, WEEE, RoHS|Yes|Yes|Yes||"15.8"" (400.3 mm)"||170Â°||3 Year|ASUS Computer International|VS238H-P|http://www.asus.com||1920 x 1080|Wall Mountable|1||500 mW|27 W|VS238H-P Widescreen LCD MonitorVGA CableDVI CablePower CordWarranty CardQuick Start Guide||does not accept phone orders.|PC||VS238H-P|VS238H-P Widescreen LCD Monitor|VS|LCD Monitor|||2 ms|Full HD|"23"""|||75 Hz|500 mW||||||160Â°|Yes|100 x 100|Yes||3.40 kg||"21.7"" (552 mm)"|
VS198D-P - Asus Vs198d-p Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes||16:10|LED|Asus|250 cd/mÂ²||UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL|Black|16.7 Million Colors|50,000,000:1||"7.3"" (184.9 mm)"|||No|No|||EPEAT Gold, ENERGY STAR, WEEE, RoHS|Yes|No|No||"14.5"" (368 mm)"||170Â°|||ASUS Computer International|VS198D-P|http://www.asus.com||1440 x 900|Wall Mountable|1||500 mW|25 W|VS198D-P Widescreen LCD MonitorVGA CablePower CordQuick Start GuideWarranty Card||does not accept phone orders.|PC||VS198D-P|VS198D-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|WXGA+|"19"""||No|75 Hz|500 mW||||||160Â°|Yes|75 x 75|Yes||2.70 kg||"17.6"" (446 mm)"|
24M35D-B - Lg 24m35d-b Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|LG|200 cd/mÂ²|||Black|16.7 Million Colors|5,000,000:1||"3.9"" (98 mm)"|"8.5"" (215 mm)"|||Yes|Reading Mode, Super Energy Saving, Flicker-free, Cable Management, Dual Monitor Support, Dual Web, Intelligent Auto, Key Lock, Dual-screen Display||||Yes|||"12.4"" (314 mm)"|"17.2"" (438 mm)"|170Â°|||LG Electronics|24M35D-B|http://www.lg.com/ca||1920 x 1080||1||300 mW|19 W||Twisted Nematic Film (TN Film)|does not accept phone orders.|PC||24M35D-B|24M35D-B Widescreen LCD Monitor|3|LCD Monitor|||5 ms|Full HD|"24"""|Anti-glare, Anti-reflective|||300 mW|||3Â°to20Â°|||160Â°|Yes|100 x 100|Yes||2.70 kg|3 kg|"21.9"" (556 mm)"|"21.9"" (556 mm)"
PA249Q - Asus Pa249q Widescreen Lcd Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Asus|350 cd/mÂ²|USB Hub|BSMI CB CCC CE C-Tick FCC Gost-R ISO-9241-307 PSE TUV-Ergo TUV-GS UL/cUL VCCI WHQL NOM|Black|1073.7 Million Colors (10-bit)|80,000,000:1||"2.4"" (62 mm)"|"9.3"" (235 mm)"||Yes|Yes|Splendid Video Intelligence Technology, Picture in Picture, Picture by Picture, Security Lock||ENERGY STAR, WEEE, China Energy Label (CEL), EPEAT Gold, ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|"14.3"" (362.8 mm)"|"16.4"" (416.3 mm)"|178Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|PA249Q|http://www.asus.com||1920 x 1200|Wall Mountable|1|||72 W|PA249Q Widescreen LCD Monitor Cable Tie DVI Cable VGA Cable Power Cord DisplayPort Cable USB 3.0 Cable Quick Start Guide Support CD Warranty Card Color Pre-calibration Report|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|PC, Mac||PA249Q|PA249Q Widescreen LCD Monitor|PA|LCD Monitor|||6 ms|WUXGA|"24"""|||76 Hz|1 W||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||6.60 kg||"21.9"" (557.2 mm)"|"21.9"" (557.2 mm)"
D7P94A4#ABA - Hp Business Performance Z30i Widescreen Lcd Monitor - PC-Canada.com|||||LED||350 cd/mÂ²|||||1,000:1||"2.6"" (66.3 mm)"|"10.5"" (266.4 mm)"||||||TCO Certified Edge|||||"17.7"" (449.8 mm)"|"23.7"" (601 mm)"|||||D7P94A4#ABA|||2560 x 1600||||||Business Performance Z30i Widescreen LCD Monitor AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software||does not accept phone orders.||Business|Z30i|Business Performance Z30i Widescreen LCD Monitor|Performance|||||WQXGA|||||||||||||||||9.96 kg|"27.2"" (690.3 mm)"|"27.2"" (690.3 mm)"
997-6329-00LF - Planar Lc1503r Open-frame Lcd Monitor - PC-Canada.com|||||LED|Planar|1600 cd/mÂ²||FCCCETUV|||600:1||"1.2"" (31 mm)"|||||||RoHS|Yes||||"10"" (253 mm)"||160Â°||1 Year|Planar Systems, Inc|997-6329-00LF|http://www.planar.com||1024 x 768||1|||20 W|||does not accept phone orders.|||LC1503R|LC1503R Open-frame LCD Monitor|LC15|Open-frame LCD Monitor|||8 ms|XGA|"15"""||||||||||160Â°|Yes|75 x 75|Yes||1 kg||"12.9"" (327 mm)"|
24MB35PU-B - Lg 24mb35pu-b Widescreen Lcd Monitor - PC-Canada.com|Yes||Yes|16:9|LED|LG||Speaker|TAA|||||"2.5"" (63 mm)"|"10.7"" (271 mm)"|||Yes|||ENERGY STAR|Yes||||"13.5"" (342 mm)"|"17"" (432 mm)"||110 V AC, 220 V AC||LG Electronics|24MB35PU-B|http://www.lg.com/ca||1920 x 1080|Wall Mountable|1|2|300 mW|23 W||In-plane Switching (IPS) Technology|does not accept phone orders.|||24MB35PU-B|24MB35PU-B Widescreen LCD Monitor||LCD Monitor||||Full HD|"23.8"""|Anti-glare|Yes|60 Hz|300 mW|||-5Â°to20Â°||||Yes|100 x 100|Yes||5.10 kg||"22.4"" (569 mm)"|"22.4"" (569 mm)"
"PA272W-SV - Nec Display 27"" Color Critical Desktop Monitor With Spectraviewii (white) - PC-Canada.com"|Yes|Yes|Yes|16:10|GB-R LED|NEC Display|340 cd/mÂ²|USB Hub||White|1.07 Billion Colors|1,000:1||"3.3"" (83.8 mm)"|"9.3"" (236.2 mm)"||Yes|Yes|Digital Uniformity Correction, Cable Management, DisplaySync Pro, Carbon Footprint Meter, Eco Mode, TileComp, Tiled Matrix, CableComp, AmbiBright||RoHS, TCO Displays 5.0|Yes|Yes|Yes||"14.9"" (378.5 mm)"|"21.5"" (546.1 mm)"|178Â°||4 Year|NEC Display Solutions|PA272W-SV|http://www.necdisplay.com||2560 x 1440||1|||73 W|"27"" Color Critical Desktop Monitor with SpectraViewII (White) Power Cable DisplayPort Cable Mini DisplayPort to DisplayPort Cable DVI Cable USB Cable Mounting Screws"|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.||MultiSync|PA272W-SV|"27"" Color Critical Desktop Monitor with SpectraViewII (White)"||LCD Monitor|||6 ms|WQHD|"27"""|||85 Hz|1.40 W||||Yes||178Â°|Yes|200 x 100|||8.89 kg|12.88 kg|"25.2"" (640.1 mm)"|"25.2"" (640.1 mm)"
"VA2342-LED - Viewsonic Va2342-led  23"" Full Hd 1080p Led Monitor - PC-Canada.com"|Yes|||16:9|LED|Viewsonic|250 cd/mÂ²||ULCULFCC-B (ICES)CBCCCNOMCETUV|Black||1,000:1||"1.5"" (38.1 mm)"|"7.9"" (200.7 mm)"|||Yes|Security Lock||China Energy Label (CEL), RoHS, WEEE, ENERGY STAR 5.0, EPEAT Silver|Yes|Yes|||"13.1"" (332.7 mm)"|"16.9"" (429.3 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Viewsonic Corporation|VA2342-LED|http://www.viewsonic.com||1920 x 1080|Wall Mountable|1|||22 W|"VA2342-LED 23"" Full HD 1080p LED MonitorPower AdapterPower CableVGA Video CableViewSonic Wizard CD-ROMQuick Start Guide"||does not accept phone orders.|PC, Mac|Value|VA2342-LED|"VA2342-LED 23"" Full HD 1080p LED Monitor"||LCD Monitor|||5 ms|Full HD|"23"""|Anti-glare||60 Hz|||||||160Â°|Yes|100 x 100|Yes||2.27 kg|2.54 kg|"21.6"" (548.6 mm)"|"21.6"" (548.6 mm)"
EVO-RD4-LCD8 - Pos-x Evo Rd4-lcd8 Lcd Monitor - PC-Canada.com||||||POS-X|220 cd/mÂ²|||Black||||||||||||||||||||3 Year|POS-X, Inc|EVO-RD4-LCD8|http://www.pos-x.com||800 x 600||1||||||does not accept phone orders.||EVO|RD4-LCD8|EVO RD4-LCD8 LCD Monitor||LCD Monitor||||SVGA|"8.4"""|||||||||||Yes|75 x 75|Yes|||||
MX239H - Asus Mx239h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²|Speaker|CCCCEBSMICBC-TickFCCGost-RPSEUL/cULVCCIWHQL|Black, Silver|16.7 Million Colors|80,000,000:1|||"8.2"" (207.2 mm)"||||Security Lock, Splendid Video Intelligence Technology, Ultra Slim||RoHS, ENERGY STAR, J-Moss (Japanese RoHS), WEEE, ErP|Yes|Yes|Yes|Yes||"15.4"" (392.2 mm)"|178Â°|110 V AC, 220 V AC||ASUS Computer International|MX239H|http://www.asus.com||1920 x 1080||1|2|500 mW|33 W|MX239H Widescreen LCD MonitorPower CordAudio CableVGA CablePower AdapterQuick Start GuideHDMI-to-DVI CableWarranty Card|In-plane Switching (IPS) Technology|does not accept phone orders.|PC||MX239H|MX239H Widescreen LCD Monitor|MX|LCD Monitor|||5 ms|Full HD|"23"""||Yes|75 Hz|500 mW||||||178Â°|||Yes||3.70 kg|||"20.6"" (522.2 mm)"
MX279H - Asus Mx279h Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²|Speaker|BSMICBCCCCEC-TickFCCGost-RPSEUL/cULVCCIWHQL|Black, Silver|16.7 Million Colors|80,000,000:1|||"8.9"" (225.2 mm)"||||Ultra Slim, Splendid Video Intelligence Technology, Security Lock||J-Moss (Japanese RoHS), WEEE, RoHS, ENERGY STAR, ErP|Yes|Yes|Yes|Yes||"17.4"" (441.3 mm)"|178Â°|110 V AC, 220 V AC||ASUS Computer International|MX279H|http://www.asus.com||1920 x 1080||1|2|500 mW|37 W|MX279H Widescreen LCD MonitorVGA CableAudio CablePower CordPower AdapterQuick Start GuideHDMI-to-DVI CableWarranty Card|In-plane Switching (IPS) Technology|does not accept phone orders.|PC||MX279H|MX279H Widescreen LCD Monitor|MX|LCD Monitor|||5 ms|Full HD|"27"""||Yes|76 Hz|500 mW||||||178Â°|||Yes||5.20 kg|||"24.5"" (622.6 mm)"
D9E49AA#ABA - Hp Elitedisplay E221c 54,6 Cm (21.5'') Webcam Led Backlit Monitor - PC-Canada.com|Yes|Yes|Yes|16:9|LED|HP|250 cd/mÂ²|Speaker, Microphone, USB Hub|VCCI BSMI NOM TUV S CB CCC PSB FCC KCC KC|Black||1,000:1||"2"" (51 mm)"|"9.3"" (237 mm)"||Yes|Yes|Security Lock||ENERGY STAR, EPEAT Gold, TCO Certified Edge, REACH, WEEE, China Energy Label (CEL), CECP|Yes|Yes|||"12.2"" (309 mm)"|"18.1"" (460 mm)"|178Â°|220 V AC, 110 V AC||Hewlett-Packard|D9E49AA#ABA|http://www.hp.com/ca||1920 x 1080||1|||42 W|EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor VGA Cable DisplayPort Cable USB Cable Audio Cable AC Power Cable Printed Documentation and CD HP Display Assistant|In-plane Switching (IPS) Technology|does not accept phone orders.|PC|Business|E221c|EliteDisplay E221c 54,6 cm (21.5'') Webcam LED Backlit Monitor|Advantage|LCD Monitor|||7 ms|Full HD|"21.5"""|Anti-glare|Yes|60 Hz|400 mW||||Yes|USB 2.0|178Â°|||Yes|Yes||5.40 kg|"20"" (509 mm)"|"20"" (509 mm)"
C9E49A8#ABA - Hp Prodisplay P221 21.5-inch Led Backlit Monitor - PC-Canada.com|Yes|||16:9|LED|HP|250 cd/mÂ²|||Black||1,000:1||"1.9"" (47.5 mm)"|"6.3"" (160 mm)"|||Yes|Security Lock||ENERGY STAR, EPEAT Gold, TCO Certified Displays|Yes|Yes|||"12.4"" (315 mm)"|"14.9"" (379 mm)"|170Â°|110 V AC, 220 V AC|3 Year|Hewlett-Packard|C9E49A8#ABA|http://www.hp.com/ca||1920 x 1080||1|||28 W|ProDisplay P221 21.5-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted DocumentationCD||does not accept phone orders.||Essential|P221|ProDisplay P221 21.5-inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare|No||500 mW||||||160Â°|Yes|100 x 100|Yes||3.99 kg||"20.4"" (517.9 mm)"|"20.4"" (517.9 mm)"
60A4RAR1US - Lenovo Thinkvision Lt3053p 30-inch Wqxga Ips Led Backlit Lcd Professional Monitor - PC-Canada.com|Yes|Yes|Yes|16:10|LED|Lenovo|300 cd/mÂ²|USB Hub|"Safety: cTUVus CSA CB Report NEMKO NOM SASO TUV-GS CCC GOST PSB BSMI KC JEIDA TUV-S ISC KVALITET KUCAS INSM SABS STZ BELLIS OTAN KONCAR CSM SONCAP EMI: FCC B IC CE VCCI KC C-Tick SABS BSMI Ergonomic:
VOC e-Standby Green Mark"|Business Black|1.07 Billion Colors|1,000:1||"2.4"" (62 mm)"|"9.5"" (241.8 mm)"||Yes|Yes|Security Lock, Mobile High-Definition Link (MHL), Picture by Picture, Picture in Picture||CECP, ULE Gold, China RoHS, Turkey RoHS, REACH, EPEAT Gold, China Energy Label (CEL), EPA, TCO Certified Displays 6.0, Taiwan Green Mark, ENERGY STAR 6.0, TCO Certified Displays|Yes||Yes|||"18.6"" (471.2 mm)"|178Â°|110 V AC, 220 V AC|3 Year|Lenovo Group Limited|60A4RAR1US|http://www.lenovo.com/ca/en||2560 x 1600||1||500 mW|130 W|ThinkVision LT3053p 30-inch WQXGA IPS LED Backlit LCD Professional Monitor Detachable tool-less Full Ergo Stand Professional Shading Hood Dual-Link DVI-D Cable DisplayPort Cable Analog Video Cable USB 2.0 Cable USB 3.0 Cable Power Cord CD Quick Start and Safety Poster|Advanced High Performance In-plane Switching (AH-IPS) Technology|does not accept phone orders.|PC|ThinkVision|LT3053p|ThinkVision LT3053p 30-inch WQXGA IPS LED Backlit LCD Professional Monitor||LCD Monitor|||6 ms|WQXGA|"30"""|||60 Hz|1.20 W||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||11.50 kg||"27.2"" (690.1 mm)"|"27.2"" (690.1 mm)"
VK228H-CSM - Asus Vk228h-csm Widescreen Lcd Monitor - PC-Canada.com|Yes|||16:9|LED|Asus|250 cd/mÂ²|Webcam, Speaker|UL/cULCBCEFCCCCCBSMIGost-RC-TickVCCIWHQL|Black|16.7 Million Colors|80,000,000:1||"1.9"" (48.4 mm)"|"7.9"" (200.6 mm)"|||Yes|Splendid Video Intelligence Technology, Security Lock||ENERGY STAR, TCO Certified Displays 5.2, ErP, J-Moss (Japanese RoHS), WEEE, RoHS, EPEAT Gold|Yes|Yes|Yes|Yes|"15.2"" (387.2 mm)"|"15.2"" (387.2 mm)"|170Â°|110 V AC, 220 V AC|3 Year|ASUS Computer International|VK228H-CSM|http://www.asus.com||1920 x 1080|Wall Mountable|1|2|500 mW|25 W|VK228H-CSM Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordUSB CableQuick Start GuideSupport CDWarranty Card||does not accept phone orders.|PC||VK228H-CSM|VK228H-CSM Widescreen LCD Monitor|VK|LCD Monitor|||5 ms|Full HD|"21.5"""||Yes|76 Hz|500 mW||||Yes||160Â°|Yes|100 x 100|Yes||3.10 kg||"20.2"" (514.1 mm)"|"20.2"" (514.1 mm)"
